구,연도,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구,1인가구수,단독주택_계,단독주택_남자,단독주택_여자,아파트_계,아파트_남자,아파트_여자,연립주택_계,연립주택_남자,연립주택_여자,다세대주택_계,다세대주택_남자,다세대주택_여자,비주거용 건물내 주택_계,비주거용 건물내 주택_남자,비주거용 건물내 주택_여자,일반수급자 65 ~ 69세,일반수급자 70 ~ 74세,일반수급자 75 ~ 79세,일반수급자 80세 이상,값,기초생활수급자비율,저소득노인_65~79비율,저소득노인_80이상비율,노령화지수,총인구,총인구_남자,총인구_여자,전년 대비 증감,증감률,1인가구_비율,65세 이상,0~14세,소비자물가
강서구,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68237.0,8371.0,7621.0,19968.0,8158.0,11810.0,799.0,311.0,488.0,12569.0,5788.0,6781.0,876.0,492.0,384.0,18033.0,1525.0,1502.0,1604.0,1792.0,31.0,6.88,6.69,15.18,15.73,581675.0,282678.0,298997.0,7249.0,11.9,12.27,11351.0,72181.0,97.645
강서구,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73011.0,8454.0,7514.0,21221.0,8693.0,12528.0,823.0,326.0,497.0,13963.0,6452.0,7511.0,900.0,508.0,392.0,20136.0,1831.0,1770.0,1844.0,2242.0,42.0,14.47,7.63,19.22,17.65,578539.0,280629.0,297910.0,4774.0,7.0,13.29,12192.0,69057.0,99.086
강서구,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79371.0,8655.0,7792.0,23041.0,9364.0,13677.0,904.0,382.0,522.0,15622.0,7148.0,8474.0,964.0,549.0,415.0,22393.0,2242.0,2038.0,2076.0,2731.0,37.0,11.55,7.89,25.34,20.34,574097.0,277365.0,296732.0,6360.0,8.7,14.18,13343.0,65584.0,99.466
강서구,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86172.0,8767.0,7754.0,24864.0,9983.0,14881.0,1010.0,415.0,595.0,18027.0,8389.0,9638.0,913.0,507.0,406.0,24837.0,2733.0,2384.0,2341.0,3340.0,40.0,10.64,5.96,16.65,24.04,564854.0,271779.0,293075.0,6801.0,8.6,15.26,14607.0,60762.0,100.0
강서구,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94436.0,8963.0,7921.0,27611.0,11059.0,16552.0,1053.0,444.0,609.0,20289.0,9319.0,10970.0,937.0,540.0,397.0,27662.0,3504.0,2719.0,2509.0,3990.0,44.0,4.02,3.74,11.45,28.09,559837.0,268530.0,291307.0,8264.0,9.6,16.45,16264.0,57891.0,102.5
강서구,2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100695.0,9227.0,8072.0,29146.0,11608.0,17538.0,1138.0,458.0,680.0,22280.0,10266.0,12014.0,943.0,576.0,367.0,29889.0,3748.0,3015.0,2659.0,4390.0,48.0,4.12,3.61,9.25,32.19,555999.0,266085.0,289914.0,6259.0,6.6,17.41,17624.0,54744.0,107.72
강서구,2023,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104509.0,9288.0,8088.0,30435.0,12109.0,18326.0,1177.0,488.0,689.0,23325.0,10786.0,12539.0,1060.0,665.0,395.0,31136.0,4076.0,3298.0,2936.0,4712.0,39.0,5.99,3.32,8.31,37.51,549557.0,262646.0,286911.0,3814.0,3.8,17.97,19383.0,51673.0,111.59
관악구,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82997.0,25136.9,20523.4,8415.5,3678.1,4737.4,803.9,325.1,478.8,7741.1,3775.1,3966.0,7108.2,4418.8,2689.4,13268.1,-153.4,498.8,589.0,-17.6,28.7,8.05,5.26,9.33,2.62,522271.4,262625.4,259646.0,3731.4,4.6,17.47,6760.0,52171.5,89.257
관악구,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90619.6,27143.9,22162.5,9199.0,3967.7,5231.3,876.8,362.4,514.5,8752.9,4231.3,4521.6,7697.7,4713.8,2983.9,14786.8,176.4,675.4,742.6,344.0,30.2,8.27,5.08,9.38,8.5,518992.6,260759.1,258233.6,4223.1,4.7,18.82,7768.1,49393.5,91.477
관악구,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98242.1,29151.0,23801.7,9982.4,4257.3,5725.1,949.7,399.6,550.1,9764.7,4687.4,5077.3,8287.1,5008.7,3278.4,16305.4,506.3,852.0,896.3,705.6,31.7,8.48,4.9,9.44,14.38,515713.9,258892.7,256821.1,4714.9,4.9,20.17,8776.1,46615.6,93.696
관악구,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106865.0,31624.0,25011.0,10990.0,4636.0,6354.0,1062.0,470.0,592.0,10879.0,5251.0,5628.0,8841.0,5256.0,3585.0,18458.0,894.0,1015.0,969.0,1004.0,29.0,7.23,3.48,7.18,23.01,511222.0,256857.0,254365.0,2893.0,2.8,21.65,10150.0,44110.0,97.645
관악구,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112733.0,32561.0,26598.0,11808.0,4945.0,6863.0,1095.0,472.0,623.0,11742.0,5598.0,6144.0,9716.0,5728.0,3988.0,19213.0,1080.0,1171.0,1186.0,1412.0,39.0,7.67,4.28,7.71,26.0,510303.0,255687.0,254616.0,5868.0,5.5,22.69,10687.0,41109.0,99.086
관악구,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119863.0,35141.0,29417.0,11833.0,4928.0,6905.0,1125.0,471.0,654.0,12544.0,5844.0,6700.0,10399.0,6114.0,4285.0,19404.0,1399.0,1366.0,1373.0,1759.0,35.0,10.2,4.89,12.04,30.11,507828.0,254082.0,253746.0,7130.0,6.3,24.18,11553.0,38374.0,99.466
관악구,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129233.0,37145.0,30786.0,12924.0,5327.0,7597.0,1221.0,530.0,691.0,13917.0,6553.0,7364.0,9840.0,5725.0,4115.0,23400.0,1893.0,1632.0,1649.0,2277.0,38.0,12.81,6.88,13.0,35.83,502641.0,250850.0,251791.0,9370.0,7.8,25.71,12576.0,35103.0,100.0
